,Text,Type,Category,Description,Snomed_code,Meddra_code,pt_name,hlt_name,hlgt_name,soc_name,soc_abbrev
283,lithuria,DX_NAME,MEDICAL_CONDITION,Amorphous urinary sediment (finding),102847000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
284,systemic,QUALITY,MEDICAL_CONDITION,Systemic (qualifier value),31099001,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
285,systemic,QUALITY,MEDICAL_CONDITION,Systemic vascular structure (body structure),281157001,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
286,systemic,QUALITY,MEDICAL_CONDITION,Systemic blood pressure (observable entity),386536003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
287,systemic,QUALITY,MEDICAL_CONDITION,Systemic arterial structure (body structure),281159003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
288,systemic,QUALITY,MEDICAL_CONDITION,Systemic disease (disorder),56019007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
289,complaints,DX_NAME,MEDICAL_CONDITION,Complaint (finding),409586006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
290,complaints,DX_NAME,MEDICAL_CONDITION,No complaints (finding),248264000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
291,complaints,DX_NAME,MEDICAL_CONDITION,General problem AND/OR complaint (finding),105721009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
292,complaints,DX_NAME,MEDICAL_CONDITION,Chief complaint (finding),33962009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
293,complaints,DX_NAME,MEDICAL_CONDITION,Multiple somatic complaints (finding),386738004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
294,renal,SYSTEM_ORGAN_SITE,ANATOMY,Kidney structure (body structure),64033007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
295,renal,SYSTEM_ORGAN_SITE,ANATOMY,Renal pyramid structure (body structure),16097006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
296,renal,SYSTEM_ORGAN_SITE,ANATOMY,Family history of renal stone (situation),416519002,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
297,renal,SYSTEM_ORGAN_SITE,ANATOMY,Renal sinus structure (body structure),66558008,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
298,renal,SYSTEM_ORGAN_SITE,ANATOMY,Structure of renal artery (body structure),2841007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
299,renal disease,DX_NAME,MEDICAL_CONDITION,Family history of kidney disease (situation),289916006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
300,renal disease,DX_NAME,MEDICAL_CONDITION,Cardiovascular renal disease (disorder),31881008,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
301,renal disease,DX_NAME,MEDICAL_CONDITION,Family history of renal failure syndrome (situation),430682005,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
302,renal disease,DX_NAME,MEDICAL_CONDITION,Family history of chronic renal impairment (situation),430560006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
303,renal disease,DX_NAME,MEDICAL_CONDITION,Kidney disease (disorder),90708001,10051051.0,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
304,normal,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Full blood count normal (finding),165406005,10017414.0,Full blood count normal,Blood counts NEC,Haematology investigations (incl blood groups),Investigations,Inv
305,normal,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Normal laboratory finding (navigational concept),309157004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
306,normal,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Normal (qualifier value),17621005,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
307,normal,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Surgical biopsy result normal (finding),165131004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
308,normal,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Normal hematology finding (navigational concept),309159001,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
309,complete blood count,TEST_NAME,TEST_TREATMENT_PROCEDURE,Complete blood count (procedure),26604007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
310,complete blood count,TEST_NAME,TEST_TREATMENT_PROCEDURE,Complete blood count without differential (procedure),43789009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
311,complete blood count,TEST_NAME,TEST_TREATMENT_PROCEDURE,"Complete blood count with white cell differential, automated (procedure)",9564003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
312,complete blood count,TEST_NAME,TEST_TREATMENT_PROCEDURE,Blood cell count (procedure),88308000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
313,complete blood count,TEST_NAME,TEST_TREATMENT_PROCEDURE,"Complete blood count with white cell differential, manual (procedure)",35774004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
314,urine examination,TEST_NAME,TEST_TREATMENT_PROCEDURE,Urine examination (procedure),167217005,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
315,urine examination,TEST_NAME,TEST_TREATMENT_PROCEDURE,Urine inspection (procedure),167230006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
316,urine examination,TEST_NAME,TEST_TREATMENT_PROCEDURE,Urine blood test (procedure),307821001,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
317,urine examination,TEST_NAME,TEST_TREATMENT_PROCEDURE,Urine not examined (situation),167219008,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
318,urine examination,TEST_NAME,TEST_TREATMENT_PROCEDURE,Urine screening (procedure),171245007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
319,4+,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Allred score for neoplasm (observable entity),445104009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
320,4+,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Average intensity of positive staining neoplastic cells (observable entity),444775005,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
321,4+,TEST_VALUE,TEST_TREATMENT_PROCEDURE,SCORE Index of Family Function and Change 15 total score (observable entity),718455008,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
322,4+,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Human leukocyte antigen B*58:01 positive (finding),739072007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
323,4+,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Human leukocyte antigen B*15:02 positive (finding),738785009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
324,protein,TEST_NAME,TEST_TREATMENT_PROCEDURE,Protein measurement (procedure),74040009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
325,protein,TEST_NAME,TEST_TREATMENT_PROCEDURE,Protein (substance),88878007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
326,protein,TEST_NAME,TEST_TREATMENT_PROCEDURE,Structural protein (substance),304381003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
327,protein,TEST_NAME,TEST_TREATMENT_PROCEDURE,Total protein measurement (procedure),304383000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
328,protein,TEST_NAME,TEST_TREATMENT_PROCEDURE,Protein S (substance),56898001,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
329,23.87,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Finding of protein level (finding),365799007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
330,23.87,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Body measurement finding (finding),365605003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
331,23.87,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Measurement finding (finding),118245000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
332,23.87,TEST_VALUE,TEST_TREATMENT_PROCEDURE,87.5 (qualifier value),732895003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
333,23.87,TEST_VALUE,TEST_TREATMENT_PROCEDURE,23 (qualifier value),264657009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
334,g,TEST_UNIT,TEST_TREATMENT_PROCEDURE,gram (qualifier value),258682000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
335,g,TEST_UNIT,TEST_TREATMENT_PROCEDURE,g/kL (qualifier value),258895008,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
336,g,TEST_UNIT,TEST_TREATMENT_PROCEDURE,Gray (qualifier value),229029004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
337,g,TEST_UNIT,TEST_TREATMENT_PROCEDURE,GX grade (finding),12619005,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
338,g,TEST_UNIT,TEST_TREATMENT_PROCEDURE,Gram/deciliter (qualifier value),258795003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
339,hurinary protein,TEST_NAME,TEST_TREATMENT_PROCEDURE,Protein measurement (procedure),74040009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
340,hurinary protein,TEST_NAME,TEST_TREATMENT_PROCEDURE,Urine protein test = + (finding),167275009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
341,hurinary protein,TEST_NAME,TEST_TREATMENT_PROCEDURE,Keratin protein (substance),102665003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
342,hurinary protein,TEST_NAME,TEST_TREATMENT_PROCEDURE,Protein (substance),88878007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
343,hurinary protein,TEST_NAME,TEST_TREATMENT_PROCEDURE,Measurement of ratio of monoclonal protein to total protein (procedure),443323007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
344,1.06,TEST_VALUE,TEST_TREATMENT_PROCEDURE,1.06 (qualifier value),769248000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
345,1.06,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Finding of serum creatinine level (finding),365757006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
346,1.06,TEST_VALUE,TEST_TREATMENT_PROCEDURE,1.05 (qualifier value),783761000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
347,1.06,TEST_VALUE,TEST_TREATMENT_PROCEDURE,0.06 (qualifier value),732324003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
348,1.06,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Finding of creatinine level (finding),365756002,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
349,mg/dl,TEST_UNIT,TEST_TREATMENT_PROCEDURE,Milligram/deciliter (qualifier value),258797006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
350,mg/dl,TEST_UNIT,TEST_TREATMENT_PROCEDURE,Milliliter/deciliter (qualifier value),258862002,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
351,mg/dl,TEST_UNIT,TEST_TREATMENT_PROCEDURE,Milligram/kilogram (qualifier value),396163008,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
352,mg/dl,TEST_UNIT,TEST_TREATMENT_PROCEDURE,Milligram/milliliter (qualifier value),258798001,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
353,mg/dl,TEST_UNIT,TEST_TREATMENT_PROCEDURE,Milligram/gram (qualifier value),408168009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
354,serum creatinine,TEST_NAME,TEST_TREATMENT_PROCEDURE,"Creatinine measurement, serum (procedure)",113075003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
355,serum creatinine,TEST_NAME,TEST_TREATMENT_PROCEDURE,Serum lysine measurement (procedure),313742004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
356,serum creatinine,TEST_NAME,TEST_TREATMENT_PROCEDURE,Serum leucine measurement (procedure),313740007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
357,serum creatinine,TEST_NAME,TEST_TREATMENT_PROCEDURE,Creatinine measurement (procedure),70901006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
358,serum creatinine,TEST_NAME,TEST_TREATMENT_PROCEDURE,Serum serine measurement (procedure),313744003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
359,0.9,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Finding of albumin level (finding),365801005,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
360,0.9,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Albumin/immunoglobulin G ratio measurement (procedure),250746002,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
361,0.9,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Finding of serum creatinine level (finding),365757006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
362,0.9,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Albumin measurement (procedure),26758005,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
363,0.9,TEST_VALUE,TEST_TREATMENT_PROCEDURE,"Albumin measurement, serum (procedure)",104485008,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
364,g/dl,TEST_UNIT,TEST_TREATMENT_PROCEDURE,Gram/deciliter (qualifier value),258795003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
365,g/dl,TEST_UNIT,TEST_TREATMENT_PROCEDURE,Deciliter (qualifier value),258771000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
366,g/dl,TEST_UNIT,TEST_TREATMENT_PROCEDURE,gram (qualifier value),258682000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
367,g/dl,TEST_UNIT,TEST_TREATMENT_PROCEDURE,Gram/kilogram (qualifier value),396167009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
368,g/dl,TEST_UNIT,TEST_TREATMENT_PROCEDURE,Milliliter/deciliter (qualifier value),258862002,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
369,serum albumin,TEST_NAME,TEST_TREATMENT_PROCEDURE,"Albumin measurement, serum (procedure)",104485008,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
370,serum albumin,TEST_NAME,TEST_TREATMENT_PROCEDURE,Albumin measurement (procedure),26758005,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
371,serum albumin,TEST_NAME,TEST_TREATMENT_PROCEDURE,Serum arginine measurement (procedure),313491006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
372,serum albumin,TEST_NAME,TEST_TREATMENT_PROCEDURE,Serum vitamin measurement (procedure),401101005,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
373,serum albumin,TEST_NAME,TEST_TREATMENT_PROCEDURE,Product containing human serum albumin (medicinal product),8658008,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
374,324,TEST_VALUE,TEST_TREATMENT_PROCEDURE,324 (qualifier value),732674006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
